Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-01-14,29.36,29.86,28.27,28.7,187500523
2024-01-21,28.6,28.72,27.6,28.28,158009006
2024-01-28,28.32,28.775,27.36,27.47,212530636
2024-02-04,27.52,28.37,26.69,26.93,339948728
2024-02-11,26.94,27.725,26.52,27.56,194581956
2024-02-18,27.54,28.02,26.86,27.62,165568347
2024-02-25,27.61,28.14,27.185,27.76,126742717
2024-03-03,27.67,27.67,26.51,26.59,216329274
2024-03-10,26.3,27.32,25.61,27.22,337673724
2024-03-17,27.31,28.39,27.31,28.01,100405305
